Sex,"Bulbus olfactorius, mm3","Telencephalon, mm3","Tectum opticum, mm3","Cerebellum, mm3","Hypothalamus, mm3",,,Sex,"Bulbus olfactorius, mm3","Telencephalon, mm3","Tectum opticum, mm3","Cerebellum, mm3","Hypothalamus, mm3"
M,0.123290233,1.07756628,4.006904557,1.134571002,1.269412872,,,F,0.094408001,0.635045728,2.895501229,0.768213652,0.903760808
M,0.134959679,1.3927141,3.934854223,0.858823467,1.462335982,,,F,0.076770314,0.701066036,2.968292193,0.718592196,0.824997939
M,0.140464796,1.126713356,3.540541934,1.163653773,1.327913516,,,F,0.062498844,0.753680644,2.843043177,0.840655637,0.889833081
M,0.137224767,1.098963668,4.011688155,1.212394012,1.776047047,,,F,0.095470906,0.695711191,2.972928398,0.862480281,1.053077565
M,0.145376153,1.225043111,4.229993501,1.043593097,1.298357412,,,F,0.120507829,1.104395481,3.757319681,1.136204107,1.199564795
M,0.136734679,1.003106869,3.915806747,1.106594596,1.300336615,,,F,0.068117583,0.899800831,3.310048779,0.862555679,1.166944591
M,0.140655386,1.127957426,3.779041438,0.97494092,1.47058371,,,F,0.061451647,0.828873879,3.496404128,0.821326988,1.092080438
M,0.1239751,0.912660155,3.354008823,0.899040042,1.070843272,,,F,0.113177446,1.326832808,4.120146144,1.237498479,1.489114918
M,0.115851465,1.008953897,3.591614544,0.958132352,1.138730995,,,F,0.122085956,1.071408759,3.602941818,1.033437375,1.214847596
M,0.104179401,1.041437965,4.135759074,1.427159569,1.345638381,,,F,0.07856076,0.778281409,3.649999734,1.04443295,1.032440443
M,0.135923101,1.128558256,3.577050906,1.087221442,1.657747757,,,F,0.162994204,0.913861814,3.795106757,0.969830596,1.354141625
M,0.08697892,0.921919999,3.701522639,1.216263407,1.235190456,,,F,0.102009608,0.786543536,3.009268771,0.749301264,1.075220558
M,0.099810493,1.070654776,3.254828219,1.066957122,1.261693978,,,F,0.108856185,0.885436684,3.690842533,1.068242033,1.329284821
M,0.094511673,1.084896663,3.347777997,0.782463916,1.246491812,,,F,0.098041253,1.170372854,3.542080267,0.847669242,1.133407042
M,0.079537272,0.887981636,3.585564098,0.886683111,0.935335909,,,F,0.135716803,0.735452076,3.248667556,0.827160402,1.172128219
M,0.059376101,0.94262388,3.688987685,0.904858271,1.260444672,,,F,0.071062826,0.904374204,2.994932113,0.852481639,1.062957874
M,0.098454372,1.112576189,3.982735237,0.999277791,1.431535808,,,F,0.099224062,0.970160463,3.79384279,0.87145424,1.069359393
M,0.115145654,0.906878054,3.282989456,1.069271952,1.224115294,,,F,0.099019073,0.81712982,2.9850628,0.802218774,0.985148478
M,0.104369991,0.802425596,2.999341338,0.93339231,1.124040908,,,F,0.110117011,0.761993298,3.001807488,0.849869928,1.234486739
M,0.106173265,1.151707867,4.15195634,1.332370388,1.608244111,,,F,0.128924679,1.040613297,3.525859701,0.896112077,1.199089367
M,0.077444186,0.846021477,3.558461055,0.965537086,1.554774204,,,F,0.08988882,0.781942411,2.643501516,0.696679587,0.96960859
M,0.098520346,1.226619144,3.603139738,0.962345228,1.509145713,,,F,0.116886096,0.90495409,3.380906092,0.978166289,1.147784018
M,0.116867247,1.173541936,3.735667824,1.033437375,1.550386447,,,F,0.096823886,0.98169325,3.155189467,1.070206576,1.18762779
M,0.098269018,1.010771832,3.627675577,0.971826555,1.249411398,,,F,0.099473295,0.986935259,3.742566762,1.129337109,1.118024758
M,0.098805707,0.970451584,3.676920042,1.089268713,1.4129203,,,F,0.061041145,0.879444881,3.468424318,0.802425596,1.34585201
M,0.12350229,1.117590171,4.026013817,1.176337953,1.572838362,,,F,0.08975504,0.926267178,3.737860394,0.914334362,1.261261486
M,0.091772205,0.988470713,3.593262047,0.9246147,1.230489586,,,F,0.133596228,0.93875815,3.940106966,1.350288986,1.307373783
M,0.096208133,1.03123093,4.068040473,1.095415762,1.28149439,,,F,0.12759788,0.912660155,3.693105527,0.930351248,1.17641021
M,0.125305565,1.162402634,4.136769619,0.936163195,1.355605084,,,F,0.130793927,0.956057854,3.787645475,0.950009764,1.201772287
M,0.165540989,1.310887654,4.654229461,1.310305936,1.426129127,,,F,0.106311495,0.549653051,3.246698563,0.96567008,1.189802819
M,0.103823354,0.776266601,3.230163575,0.820533736,0.96325629,,,F,0.102453881,1.013229081,3.17141684,0.796016747,0.998875667
M,0.10144831,1.207549676,3.901349138,1.155628574,1.454092443,,,F,0.132533322,0.962497595,3.224111821,0.954033621,1.207455428
M,0.08020486,0.907853256,3.71321172,1.033437375,0.915617179,,,F,0.098960169,0.812465602,3.326201539,0.852157007,1.058591061
M,0.112220831,1.479960317,5.006822971,1.433547998,1.483992027,,,F,0.147076802,1.107914065,4.514624152,1.229145508,1.495869342
M,0.113478254,1.081655848,3.110647966,0.96643244,1.631533785,,,F,0.090360059,0.883833686,3.206580686,0.680695163,1.059178015
M,0.120138692,1.106439611,4.357062285,1.213722906,1.317563015,,,F,0.13455677,0.952915738,3.800070474,0.944664345,1.42027634
M,0.081779584,1.346649974,4.539334349,1.183073528,1.419398264,,,F,0.107455821,0.998398145,4.076642154,0.998969915,1.259367105
